filename,layers,seed,accuracy,patchability,sparsity,category,efficiency,connections,path,directory,score
model_cifar10_3layers_seed1_acc0.47_patch0.188_sparse0.100_BEST_ACCURACY_SPARSITY_0.100.pt,3,1,0.47,0.188,0.1,BEST_ACCURACY_SPARSITY_0.100,11.690146450175101,40204.8,data/promising_models/20250707_020152/model_cifar10_3layers_seed1_acc0.47_patch0.188_sparse0.100_BEST_ACCURACY_SPARSITY_0.100.pt,20250707_020152,0.46950421865230524
model_cifar10_3layers_seed1_acc0.47_patch0.188_sparse0.100_BEST_PATCHABILITY_SPARSITY_0.100.pt,3,1,0.47,0.188,0.1,BEST_PATCHABILITY_SPARSITY_0.100,11.690146450175101,40204.8,data/promising_models/20250707_020152/model_cifar10_3layers_seed1_acc0.47_patch0.188_sparse0.100_BEST_PATCHABILITY_SPARSITY_0.100.pt,20250707_020152,0.46950421865230524
model_cifar10_3layers_seed1_acc0.47_patch0.188_sparse0.100_BEST_EFFICIENCY_SPARSITY_0.100.pt,3,1,0.47,0.188,0.1,BEST_EFFICIENCY_SPARSITY_0.100,11.690146450175101,40204.8,data/promising_models/20250707_020152/model_cifar10_3layers_seed1_acc0.47_patch0.188_sparse0.100_BEST_EFFICIENCY_SPARSITY_0.100.pt,20250707_020152,0.46950421865230524
model_cifar10_2layers_seed17_acc0.31_patch0.000_sparse0.010_BEST_EFFICIENCY_SPARSITY_0.010.pt,2,17,0.31,0.0,0.01,BEST_EFFICIENCY_SPARSITY_0.010,78.58127839065541,3944.96,data/promising_models/20250707_065048/model_cifar10_2layers_seed17_acc0.31_patch0.000_sparse0.010_BEST_EFFICIENCY_SPARSITY_0.010.pt,20250707_065048,0.45461816261366583
model_cifar10_2layers_seed17_acc0.31_patch0.000_sparse0.010_BEST_EFFICIENCY_GLOBAL.pt,2,17,0.31,0.0,0.01,BEST_EFFICIENCY_GLOBAL,78.58127839065541,3944.96,data/promising_models/20250707_065048/model_cifar10_2layers_seed17_acc0.31_patch0.000_sparse0.010_BEST_EFFICIENCY_GLOBAL.pt,20250707_065048,0.45461816261366583
model_cifar10_4layers_seed6_acc0.48_patch0.042_sparse0.200_BEST_ACCURACY_GLOBAL.pt,4,6,0.48,0.042,0.2,BEST_ACCURACY_GLOBAL,5.943889681407512,80755.20000000001,data/promising_models/20250707_020152/model_cifar10_4layers_seed6_acc0.48_patch0.042_sparse0.200_BEST_ACCURACY_GLOBAL.pt,20250707_020152,0.4159572577695531
model_cifar10_4layers_seed6_acc0.48_patch0.042_sparse0.200_BEST_EFFICIENCY_SPARSITY_0.200.pt,4,6,0.48,0.042,0.2,BEST_EFFICIENCY_SPARSITY_0.200,5.943889681407512,80755.20000000001,data/promising_models/20250707_020152/model_cifar10_4layers_seed6_acc0.48_patch0.042_sparse0.200_BEST_EFFICIENCY_SPARSITY_0.200.pt,20250707_020152,0.4159572577695531
model_cifar10_4layers_seed6_acc0.48_patch0.042_sparse0.200_BEST_PATCHABILITY_SPARSITY_0.200.pt,4,6,0.48,0.042,0.2,BEST_PATCHABILITY_SPARSITY_0.200,5.943889681407512,80755.20000000001,data/promising_models/20250707_020152/model_cifar10_4layers_seed6_acc0.48_patch0.042_sparse0.200_BEST_PATCHABILITY_SPARSITY_0.200.pt,20250707_020152,0.4159572577695531
model_cifar10_4layers_seed6_acc0.48_patch0.042_sparse0.200_BEST_ACCURACY_SPARSITY_0.200.pt,4,6,0.48,0.042,0.2,BEST_ACCURACY_SPARSITY_0.200,5.943889681407512,80755.20000000001,data/promising_models/20250707_020152/model_cifar10_4layers_seed6_acc0.48_patch0.042_sparse0.200_BEST_ACCURACY_SPARSITY_0.200.pt,20250707_020152,0.4159572577695531
model_cifar10_2layers_seed18_acc0.35_patch0.000_sparse0.022_BEST_EFFICIENCY_GLOBAL.pt,2,18,0.35,0.0,0.022,BEST_EFFICIENCY_GLOBAL,40.32763553772638,8678.912,data/promising_models/20250707_020938/model_cifar10_2layers_seed18_acc0.35_patch0.000_sparse0.022_BEST_EFFICIENCY_GLOBAL.pt,20250707_020938,0.3751814879917384
